Symbol,Date,Open,High,Low,Close,Volume
JPM,14-Aug-2025,290.58,294.2,289.6391,294.16,6322300
JPM,15-Aug-2025,294.84,295.5,289.82,290.49,7340500
JPM,18-Aug-2025,290,291.9,288.41,291.53,5386800
JPM,19-Aug-2025,290.83,292.48,289.53,290.66,6031500
JPM,20-Aug-2025,290.81,293.33,287.27,292.24,7374200
JPM,21-Aug-2025,291.94,292.7661,289.4725,291.47,6624100
JPM,22-Aug-2025,293.2,297.16,290.13,296.24,8552800
JPM,25-Aug-2025,296.24,297.3475,294.14,294.9,5856200
JPM,26-Aug-2025,294.16,298.74,293.5001,298.57,6714700
JPM,27-Aug-2025,297.25,301.07,297.04,299.28,6056500
JPM,28-Aug-2025,300.02,301.2399,298.7,301.07,6410500
JPM,29-Aug-2025,302.04,302.95,299.73,301.42,6796300
JPM,02-Sep-2025,300.26,300.455,294.5,299.7,7221800
JPM,03-Sep-2025,300.57,300.57,296.38,299.51,6316900
JPM,04-Sep-2025,300,304.43,298.28,303.82,6605700
JPM,05-Sep-2025,303.65,305.15,294.31,294.38,9837700
JPM,08-Sep-2025,294.89,296.46,291.44,292.91,8188500
JPM,09-Sep-2025,292.6,299,292.31,297.85,7848100
JPM,10-Sep-2025,296.7,301.54,295.4,300.54,7787300
JPM,11-Sep-2025,301.24,305.73,300.7925,305.56,7942400
JPM,12-Sep-2025,305,307.55,303.695,306.91,6846600
JPM,15-Sep-2025,307.17,309.95,307.17,308.9,7122000
JPM,16-Sep-2025,310,310.9,307.1347,309.19,10525500
JPM,17-Sep-2025,310.39,312.91,308.7722,311.75,8657700
JPM,18-Sep-2025,311.79,313.44,309.61,313.23,8050600
JPM,19-Sep-2025,313.6,315.8,309.12,314.78,23568500
JPM,22-Sep-2025,309.8,313.7,309.555,312.44,7520100
JPM,23-Sep-2025,311.82,316.3141,310.58,312.74,8584400
JPM,24-Sep-2025,314.05,316.5773,311.665,313.42,7310500
JPM,25-Sep-2025,314.12,315.65,311.8,313.45,7083100
JPM,26-Sep-2025,314.9,317.81,313.704,316.06,7258100
JPM,29-Sep-2025,317.06,318.01,313.66,315.69,6462400
